N	K	c_type	y_type	corr_cy	signal_r2	confound_r2	verbose	tolerance	ki	before_after	sim_nr	corr_xy	scorr_xy	scorr_xc	subsample_perc
200	5	continuous	binary	0.65	0.004	0.0	False	0.001	0	before	0	0.06094963005780928	0.056029123769299374	-0.032093109454814174	-0.85
200	5	continuous	binary	0.65	0.004	0.0	False	0.001	1	before	0	0.06004301270876238	-0.06147215592478475	0.14659809915493327	-0.85
200	5	continuous	binary	0.65	0.004	0.0	False	0.001	2	before	0	0.059672772994122145	-0.06140136385262697	0.14616972219336	-0.85
200	5	continuous	binary	0.65	0.004	0.0	False	0.001	3	before	0	0.06790622428274845	0.06297680277189625	-0.03662464794081883	-0.85
200	5	continuous	binary	0.65	0.004	0.0	False	0.001	4	before	0	0.06985679263667746	0.060959122008004574	-0.03177281286907003	-0.85
200	5	continuous	binary	0.65	0.004	0.0	False	0.001	0	after	0	-0.054321908169108445	0.023017953897505262	-0.22963049257663967	-0.85
200	5	continuous	binary	0.65	0.004	0.0	False	0.001	1	after	0	-0.3582462550580862	-0.37914111424104263	0.18861269775862616	-0.85
200	5	continuous	binary	0.65	0.004	0.0	False	0.001	2	after	0	-0.036877696299370086	-0.21678971727260146	0.5008647317332058	-0.85
200	5	continuous	binary	0.65	0.004	0.0	False	0.001	3	after	0	0.10014838376665869	0.04474414860745717	0.14994086357217648	-0.85
200	5	continuous	binary	0.65	0.004	0.0	False	0.001	4	after	0	0.0889037664318125	0.13678256782916154	-0.1772974958996266	-0.85
200	5	continuous	binary	0.65	0.004	0.05	False	0.001	0	before	0	0.23117669085410894	0.05760510156140184	0.12402181382583462	-0.86
200	5	continuous	binary	0.65	0.004	0.05	False	0.001	1	before	0	0.2325510030524777	0.06467417185612413	0.11430022582239001	-0.86
200	5	continuous	binary	0.65	0.004	0.05	False	0.001	2	before	0	0.23282861712852793	0.0679386523038302	0.10944006460899998	-0.86
200	5	continuous	binary	0.65	0.004	0.05	False	0.001	3	before	0	0.23387294182834142	0.06783238495670225	0.11064083416455153	-0.86
200	5	continuous	binary	0.65	0.004	0.05	False	0.001	4	before	0	0.23399684989724462	0.060424706856121155	0.12239724243997009	-0.86
200	5	continuous	binary	0.65	0.004	0.05	False	0.001	0	after	0	0.034274339613733724	-0.1389711695424058	0.46364768743376633	-0.86
200	5	continuous	binary	0.65	0.004	0.05	False	0.001	1	after	0	0.5142829527604524	0.4536327611270519	0.054565910552499076	-0.86
200	5	continuous	binary	0.65	0.004	0.05	False	0.001	2	after	0	0.1467678242881868	0.029147051369893456	0.31758409146465644	-0.86
200	5	continuous	binary	0.65	0.004	0.05	False	0.001	3	after	0	0.046443430076825255	0.01578491327334077	0.07790780094381886	-0.86
200	5	continuous	binary	0.65	0.004	0.05	False	0.001	4	after	0	0.33265101027974386	0.31101625447000386	-0.04452378474801628	-0.86
200	5	continuous	binary	0.65	0.004	0.1	False	0.001	0	before	0	0.32251335426204375	0.059849463492083324	0.21356593501845325	-0.84
200	5	continuous	binary	0.65	0.004	0.1	False	0.001	1	before	0	0.3217694106446518	0.0669350338728403	0.20176913772337307	-0.84
200	5	continuous	binary	0.65	0.004	0.1	False	0.001	2	before	0	0.3217447702164222	0.06697152196854925	0.2016855491844821	-0.84
200	5	continuous	binary	0.65	0.004	0.1	False	0.001	3	before	0	0.3213412009443181	0.06781257070273847	0.1999366001046295	-0.84
200	5	continuous	binary	0.65	0.004	0.1	False	0.001	4	before	0	0.3220845355985952	0.05709465241279588	0.2173477329000883	-0.84
200	5	continuous	binary	0.65	0.004	0.1	False	0.001	0	after	0	0.07112851328095622	0.021701358631004853	0.18323807699705497	-0.84
200	5	continuous	binary	0.65	0.004	0.1	False	0.001	1	after	0	0.08886470545039342	0.05920647685209277	0.09926084530401474	-0.84
200	5	continuous	binary	0.65	0.004	0.1	False	0.001	2	after	0	0.18139927522803162	0.11462418149597586	0.24692435973581475	-0.84
200	5	continuous	binary	0.65	0.004	0.1	False	0.001	3	after	0	-0.046263500881856594	-0.09704285576674526	0.2082562800001769	-0.84
200	5	continuous	binary	0.65	0.004	0.1	False	0.001	4	after	0	0.21063947158978236	0.12553309292990594	0.3350974445684917	-0.84
200	5	continuous	binary	0.65	0.004	0.15000000000000002	False	0.001	0	before	0	0.39165009022849656	0.06539352100259814	0.2844069175653179	-0.84
200	5	continuous	binary	0.65	0.004	0.15000000000000002	False	0.001	1	before	0	0.3922746285625171	0.057798028156665654	0.29665618065326393	-0.84
200	5	continuous	binary	0.65	0.004	0.15000000000000002	False	0.001	2	before	0	0.3915303654455658	0.06003365758597733	0.29239410681635797	-0.84
200	5	continuous	binary	0.65	0.004	0.15000000000000002	False	0.001	3	before	0	0.3917755777987133	0.05533651964297088	0.29975023905516773	-0.84
200	5	continuous	binary	0.65	0.004	0.15000000000000002	False	0.001	4	before	0	0.3915416889683972	0.061622809081913296	0.29000483548136224	-0.84
200	5	continuous	binary	0.65	0.004	0.15000000000000002	False	0.001	0	after	0	0.16375869220848083	-0.012874836009548508	0.5155741203844135	-0.84
200	5	continuous	binary	0.65	0.004	0.15000000000000002	False	0.001	1	after	0	0.26764564095556426	0.13456959670583815	0.41155152537344386	-0.84
200	5	continuous	binary	0.65	0.004	0.15000000000000002	False	0.001	2	after	0	0.3773576505181854	0.22863313455807385	0.5846171039608626	-0.84
200	5	continuous	binary	0.65	0.004	0.15000000000000002	False	0.001	3	after	0	0.2117497613058661	0.05946583210970652	0.46040399650532576	-0.84
200	5	continuous	binary	0.65	0.004	0.15000000000000002	False	0.001	4	after	0	0.22190604447312737	0.07408484926890498	0.4491519445729492	-0.84
