N	K	c_type	y_type	corr_cy	signal_r2	confound_r2	verbose	tolerance	method	sim_nr	score
200	5	continuous	binary	0.65	0.004	0.0	False	0.001	None	0	0.6419437340153452
200	5	continuous	binary	0.65	0.004	0.0	False	0.001	None	0	0.595959595959596
200	5	continuous	binary	0.65	0.004	0.0	False	0.001	None	0	0.4000000000000001
200	5	continuous	binary	0.65	0.004	0.0	False	0.001	None	0	0.6491228070175439
200	5	continuous	binary	0.65	0.004	0.0	False	0.001	None	0	0.47916666666666663
200	5	continuous	binary	0.65	0.004	0.0	False	0.001	None	0	0.24812030075187969
200	5	continuous	binary	0.65	0.004	0.0	False	0.001	None	0	0.4486215538847118
200	5	continuous	binary	0.65	0.004	0.0	False	0.001	None	0	0.4949494949494949
200	5	continuous	binary	0.65	0.004	0.0	False	0.001	None	0	0.5
200	5	continuous	binary	0.65	0.004	0.0	False	0.001	None	0	0.4000000000000001
200	5	continuous	binary	0.65	0.004	0.0	False	0.001	WDCR	0	0.4486215538847118
200	5	continuous	binary	0.65	0.004	0.0	False	0.001	WDCR	0	0.5488721804511277
200	5	continuous	binary	0.65	0.004	0.0	False	0.001	WDCR	0	0.6491228070175439
200	5	continuous	binary	0.65	0.004	0.0	False	0.001	WDCR	0	0.595959595959596
200	5	continuous	binary	0.65	0.004	0.0	False	0.001	WDCR	0	0.5
200	5	continuous	binary	0.65	0.004	0.0	False	0.001	WDCR	0	0.24812030075187969
200	5	continuous	binary	0.65	0.004	0.0	False	0.001	WDCR	0	0.5
200	5	continuous	binary	0.65	0.004	0.0	False	0.001	WDCR	0	0.4373401534526854
200	5	continuous	binary	0.65	0.004	0.0	False	0.001	WDCR	0	0.595959595959596
200	5	continuous	binary	0.65	0.004	0.0	False	0.001	WDCR	0	0.4373401534526854
200	5	continuous	binary	0.65	0.004	0.0	False	0.001	CVCR	0	0.4949494949494949
200	5	continuous	binary	0.65	0.004	0.0	False	0.001	CVCR	0	0.5488721804511277
200	5	continuous	binary	0.65	0.004	0.0	False	0.001	CVCR	0	0.595959595959596
200	5	continuous	binary	0.65	0.004	0.0	False	0.001	CVCR	0	0.5488721804511277
200	5	continuous	binary	0.65	0.004	0.0	False	0.001	CVCR	0	0.6491228070175439
200	5	continuous	binary	0.65	0.004	0.0	False	0.001	CVCR	0	0.24812030075187969
200	5	continuous	binary	0.65	0.004	0.0	False	0.001	CVCR	0	0.595959595959596
200	5	continuous	binary	0.65	0.004	0.0	False	0.001	CVCR	0	0.595959595959596
200	5	continuous	binary	0.65	0.004	0.0	False	0.001	CVCR	0	0.6419437340153452
200	5	continuous	binary	0.65	0.004	0.0	False	0.001	CVCR	0	0.4373401534526854
200	5	continuous	binary	0.65	0.004	0.0	False	0.001	CB	0	0.7333333333333334
200	5	continuous	binary	0.65	0.004	0.0	False	0.001	CB	0	0.5
200	5	continuous	binary	0.65	0.004	0.0	False	0.001	CB	0	0.3333333333333333
